地区,小区,户型,面积,价格
武昌,莲溪寺南村铁路小区,3室1厅1卫,71,1200
沌口开发区,新新人家,4室2厅2卫,16,800
东湖高新,金地雄楚一号,3室2厅1卫,112,900
武昌,福星惠誉水岸国际时代上城,4室1厅4卫,22,1180
武昌,柴林头东区,3室1厅1卫,92,1500
江岸,余华岭佳园,3室2厅2卫,12,650
洪山,城投瀚城,1室1厅1卫,178,800
沌口开发区,金色港湾四期,6室1厅3卫,177,800
江夏,菩提苑二期,1室1厅2卫,128,700
洪山,泰格生态公寓,1室0厅1卫,120,900
沌口开发区,锦绣豪园,5室0厅2卫,158,600
洪山,松涛苑E区,4室1厅3卫,10,790
洪山,桂子花园二期,5室0厅2卫,140,1000
东西湖,美联奥林匹克花园四期,5室1厅1卫,8,790
江汉,前进一路151附6号,1室1厅1卫,57,1400
武昌,民主二路55号,3室1厅1卫,65,1400
蔡甸,依山龙郡,2室2厅1卫,88,800
武昌,华亚新领地,1室1厅1卫,15,850
武昌,大东门四村,2室1厅1卫,30,1100
武昌,杨园街电力新村社区,2室1厅1卫,70,1400
江岸,众联天美国际,3室2厅2卫,43,700
洪山,鸿瑞佳苑,3室1厅2卫,15,799
武昌,福星惠誉国际城三期,3室1厅1卫,90,800
洪山,鸿瑞佳苑,4室1厅2卫,16,998
武昌,东亭,1室1厅1卫,83,900
洪山,尚文创业城,5室1厅2卫,10,1030
洪山,质监局宿舍,2室1厅1卫,75,1000
东西湖,美联奥林匹克花园四期,5室1厅3卫,22,980
东西湖,山水星辰,5室0厅4卫,22,700
东西湖,梨花园小区,5室0厅2卫,13,720
